"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J12";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
2;"J11,J2";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
3;"L1";"NRS4018T4R7MDGJ";1;"4.7uH";;;
4;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328PB-AU";;;
5;"J9,J10,J1,J3";"PinSocket_1x06_P2.54mm_Vertical";4;"Conn_01x06_Female";;;
6;"U3";"nRF24L01_Breakout_mine";1;"NRF24L01_Breakout";;;
7;"J8,J6,J7";"PinSocket_1x06_P2.54mm_Vertical";3;"Conn_01x06";;;
8;"J5";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
9;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Male_ICSP";;;
10;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10k";;;
11;"LED_I1";"LED_D3.0mm_FlatTop";1;"2V 20mA";;;
12;"V1";"AA_Holder";1;"AA";;;
13;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
14;"C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10uF";;;
15;"C3,C5,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"22pF";;;
16;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7uF";;;
17;"C4";"CP_Radial_D5.0mm_P2.00mm";1;"100uF";;;
18;"U1";"SOT-23-6_Handsoldering";1;"MCP1640BCH";;;
19;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"200";;;
20;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"976k";;;
21;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"576k";;;
22;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5.1k";;;
23;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1M";;;
